---- Opened the serial port COM12 ----
# PQC Cortex-M0+ Benchmark Suite
# Platform: Raspberry Pi Pico (RP2040, ARM Cortex-M0+ @ 133MHz)
# RAM: 264 KB, Flash: 2 MB
# Runs per operation: 30
#
algorithm,operation,security_level,time_us,run_number
ML-DSA,verify,87,117816,24
ML-DSA,verify,87,117828,25
ML-DSA,verify,87,117825,26
ML-DSA,verify,87,117827,27
ML-DSA,verify,87,117830,28
ML-DSA,verify,87,117823,29
ML-DSA,verify,87,117821,30
# SUMMARY ML-DSA verify 87: mean=117829 min=117772 max=117899 stddev=18.6 cv=0.02%
# CORRECTNESS: ML-DSA-87 signature verifies OK
# STACK ML-DSA keygen 87: 97784 bytes (avail=183936)
# STACK ML-DSA sign 87: 122496 bytes (avail=183936)
# STACK ML-DSA verify 87: 92712 bytes (avail=183936)
# === ML-DSA benchmarks complete ===
